Publisher,NA,EU,JP
The Adventure Company,1,0,0
THQ,1,0,0
Titus,0,1,0
Tomy Corporation,0,0,1
TopWare Interactive,0,1,0
Touchstone,0,1,0
Trion Worlds,1,0,0
Tripwire Interactive,1,0,0
Tru Blu Entertainment,0,0,0
Ubisoft,1,0,0
Ubisoft Annecy,1,0,0
UFO Interactive,1,0,0
Universal Interactive,1,0,0
Valcon Games,1,0,0
Valve,1,0,0
Valve Software,1,0,0
Virgin Interactive,0,1,0
Visco,0,0,1
Vivendi Games,1,0,0
Wanadoo,0,1,0
Wargaming.net,0,1,0
Warner Bros. Interactive Entertainment,1,0,0
White Park Bay Software,0,1,0
Xicat Interactive,0,1,0
Xplosiv,0,1,0
XS Games,1,0,0
Xseed Games,1,0,0
Yacht Club Games,1,0,0
Zoo Digital Publishing,0,1,0
Zoo Games,1,0,0
Zushi Games,0,1,0
